id,address,lat,lon,target,risk_factor,xgb_prob,mlp_prob,cnn_prob,defensible_space_m
4431002002,4431002002,34.07169265,-118.55772839,0,Critical Vulnerability,0.56961936,,0.5570022463798523,0.0668499991297721
4419013015,4419013015,34.04922688,-118.54134344,1,Low Risk,0.5433032,,0.6487969160079956,100.0
5841025010,5841025010,34.19295875,-118.13641273,1,Critical Vulnerability,0.6130592,,0.6846473217010498,0.0
4411024025,4411024025,34.0322048,-118.52026715,1,High Fuel Load,0.6041139,,0.6633614897727966,100.0
4415018136,4415018136,34.03969698,-118.55298564,0,Zero Defensible Space,0.10785366,,0.46404072642326355,0.0
5847003012,5847003012,34.18367903,-118.12771203,0,High Fuel Load,0.60512996,,0.5948265790939331,100.0
5847010021,5847010021,34.18213836,-118.12474848,0,Critical Vulnerability,0.6008169,,0.5425903797149658,0.0
4415015016,4415015016,34.04402444,-118.5450593,1,High Fuel Load,0.5856567,,0.5969138145446777,100.0
5832006002,5832006002,34.19895484,-118.14993129,1,Zero Defensible Space,0.5235978,,0.6341449022293091,0.0
4419002004,4419002004,34.05071068,-118.54922287,1,Critical Vulnerability,0.58746153,,0.6866729855537415,0.0
4419015111,4419015111,34.04772932,-118.55176495,0,Zero Defensible Space,0.3844598,,0.5252808928489685,0.0
5841001002,5841001002,34.19880331,-118.13290692,1,Critical Vulnerability,0.6774131,,0.6454201340675354,0.0
5842001010,5842001010,34.19535046,-118.13084216,0,Critical Vulnerability,0.5925767,,0.6669304966926575,0.0
5840014052,5840014052,34.18792058,-118.13362587,1,Critical Vulnerability,0.7374966,,0.606934666633606,0.0668499991297721
4414009017,4414009017,34.0451236,-118.5386305,1,High Fuel Load,0.66359496,,0.6389511227607727,100.0
5829036005,5829036005,34.19392875,-118.15840545,0,Zero Defensible Space,0.4951895,,0.5348401069641113,0.0
4412016034,4412016034,34.03881257,-118.5306542,1,Critical Vulnerability,0.7945204,,0.8877894282341003,0.0
4416006051,4416006051,34.04484635,-118.55302776,1,Zero Defensible Space,0.8761529,,0.7167149782180786,0.0
5846019022,5846019022,34.19027443,-118.11984713,1,Critical Vulnerability,0.5293427,,0.4683501720428467,0.0
5743012017,5743012017,34.16632026,-118.10134026,0,Critical Vulnerability,0.5732894,,0.5900524258613586,0.0
4449004064,4449004064,34.03966269,-118.59286745,1,Zero Defensible Space,0.6248765,,0.46404072642326355,1.8049499988555908
5825004049,5825004049,34.18154166,-118.15826025,0,Critical Vulnerability,0.6631994,,0.7467700242996216,0.0
5833003006,5833003006,34.20084911,-118.13586704,0,Critical Vulnerability,0.5048126,,0.5112847685813904,0.0668499991297721
5829016003,5829016003,34.19879373,-118.15361384,1,Critical Vulnerability,0.65514654,,0.6633762121200562,0.0
5844011013,5844011013,34.19337615,-118.12478814,1,Critical Vulnerability,0.60940266,,0.465395987033844,0.0
4431012049,4431012049,34.07837467,-118.56098727,0,Zero Defensible Space,0.44154716,,0.4847586452960968,0.0
4420014017,4420014017,34.05081388,-118.5431013,1,Low Risk,0.6528266,,0.6099290251731873,100.0
5863028015,5863028015,34.2069394,-118.15437717,0,Zero Defensible Space,0.43971014,,0.4734690189361572,0.0
4425006003,4425006003,34.05506397,-118.50578536,1,Zero Defensible Space,0.4839716,,0.4902181923389435,0.0
4416015020,4416015020,34.04210052,-118.56376853,1,Zero Defensible Space,0.51711816,,0.4985217750072479,0.0
4416003098,4416003098,34.04025664,-118.55553061,0,Zero Defensible Space,0.13634336,,0.47738513350486755,0.0
5846023046,5846023046,34.18528997,-118.11243935,0,Critical Vulnerability,0.4872775,,0.48030388355255127,2.2488129138946533
4423029041,4423029041,34.04185854,-118.51813617,0,High Fuel Load,0.5649467,,0.7468848824501038,100.0
4413014004,4413014004,34.04851804,-118.5340572,0,Zero Defensible Space,0.523382,,0.46404072642326355,0.3342500030994415
5829033029,5829033029,34.19438148,-118.16112691,0,Zero Defensible Space,0.46588966,,0.58177250623703,0.0668499991297721
4423002031,4423002031,34.04924908,-118.52393078,1,Zero Defensible Space,0.70472395,,0.7765983939170837,0.0
4453032004,4453032004,34.06845672,-118.65015312,1,High Fuel Load,0.6993419,,0.5283278822898865,100.0
5763010058,5763010058,34.17029804,-118.04583713,0,Zero Defensible Space,0.544869,,0.677941620349884,0.0
4451001039,4451001039,34.03660203,-118.63731247,1,Zero Defensible Space,0.71114886,,0.46404072642326355,0.0668499991297721
4419015155,4419015155,34.04897819,-118.55191842,0,Critical Vulnerability,0.48798463,,0.7306968569755554,0.0
5836003006,5836003006,34.180438,-118.15505332,0,Zero Defensible Space,0.5338823,,0.6979351043701172,0.0668499991297721
5847020013,5847020013,34.1835691,-118.12206125,0,Critical Vulnerability,0.58214283,,0.5867509245872498,0.0
4422016009,4422016009,34.05329283,-118.52534214,1,Zero Defensible Space,0.525732,,0.46612098813056946,0.0
5751013016,5751013016,34.16346502,-118.09425899,0,Critical Vulnerability,0.6717788,,0.6414390206336975,0.0
4422022085,4422022085,34.04898299,-118.52780184,1,Critical Vulnerability,0.8699104,,0.6104737520217896,0.0
4412026002,4412026002,34.03376349,-118.52649617,1,Low Risk,0.47774735,,0.46404072642326355,100.0
5764031012,5764031012,34.17258474,-118.03944135,0,Critical Vulnerability,0.48907167,,0.46404072642326355,0.354403018951416
5847024005,5847024005,34.18480457,-118.11706287,1,Critical Vulnerability,0.57820153,,0.473539799451828,0.0
4453030002,4453030002,34.06557738,-118.65112794,1,Critical Vulnerability,0.5968078,,0.6796179413795471,0.0
4423014029,4423014029,34.04740342,-118.52248251,1,Critical Vulnerability,0.5895089,,0.4895743727684021,0.6685000061988831
5846022020,5846022020,34.1845154,-118.11467931,1,Low Risk,0.53128725,,0.508071780204773,100.0
4451013034,4451013034,34.04359719,-118.64787206,1,Critical Vulnerability,0.48907167,,0.46404072642326355,0.354403018951416
5860023075,5860023075,34.17199317,-118.08613222,0,Zero Defensible Space,0.60007197,,0.6192588806152344,0.0
5835042017,5835042017,34.19170222,-118.14241873,1,Zero Defensible Space,0.5567842,,0.6573963761329651,0.0668499991297721
5847021016,5847021016,34.18458122,-118.12292777,1,Zero Defensible Space,0.5649751,,0.46404072642326355,0.0668499991297721
4453002035,4453002035,34.07238243,-118.66126848,1,Low Risk,0.4967211,,0.4849158525466919,100.0
4422007039,4422007039,34.05345172,-118.52201814,1,Zero Defensible Space,0.4980983,,0.46404072642326355,0.0
5863027021,5863027021,34.2082034,-118.15560506,0,Zero Defensible Space,0.3545815,,0.5782597064971924,0.0
4450007037,4450007037,34.0373466,-118.62573461,0,Zero Defensible Space,0.4810519,,0.46404072642326355,0.0668499991297721
4409026040,4409026040,34.03567768,-118.51713614,0,Critical Vulnerability,0.6027959,,0.6077032685279846,0.0958510041236877
4412019023,4412019023,34.03806393,-118.52708119,1,Zero Defensible Space,0.5558576,,0.7712180614471436,0.0
5831020030,5831020030,34.20468053,-118.14430325,0,Zero Defensible Space,0.34583032,,0.46404072642326355,0.0
5751011010,5751011010,34.16536503,-118.09578922,0,Critical Vulnerability,0.6437563,,0.5697362422943115,0.0
4452003048,4452003048,34.03908752,-118.66619969,0,Low Risk,0.04966956,,0.46404072642326355,100.0
4419010025,4419010025,34.05391362,-118.54671051,1,Zero Defensible Space,0.6538318,,0.5966905951499939,0.0668499991297721
4420007024,4420007024,34.05318351,-118.53461623,0,Zero Defensible Space,0.54060626,,0.7155307531356812,0.0668499991297721
